NAME(Used only as reminder for value);VALUE;LABEL
OdBm::UnitType::UT_HVAC_Area_Divided_By_Heating_Load;79;Area divided by Heating Load
OdBm::UnitType::UT_HVAC_Factor;80;Factor
OdBm::UnitType::UT_Electrical_Temperature;81;Temperature
OdBm::UnitType::UT_Electrical_CableTraySize;82;Cable Tray Size
OdBm::UnitType::UT_Electrical_ConduitSize;83;Conduit Size
OdBm::UnitType::UT_Reinforcement_Volume;84;Reinforcement Volume
OdBm::UnitType::UT_Reinforcement_Length;85;Reinforcement Length
OdBm::UnitType::UT_Electrical_Demand_Factor;86;Demand Factor
OdBm::UnitType::UT_HVAC_DuctInsulationThickness;87;Duct Insulation Thickness
OdBm::UnitType::UT_HVAC_DuctLiningThickness;88;Duct Lining Thickness
OdBm::UnitType::UT_PipeInsulationThickness;89;Pipe Insulation Thickness
OdBm::UnitType::UT_HVAC_ThermalResistance;90;Thermal Resistance
OdBm::UnitType::UT_HVAC_ThermalMass;91;Thermal Mass
OdBm::UnitType::UT_Acceleration;92;Acceleration
OdBm::UnitType::UT_Bar_Diameter;93;Bar Diameter
OdBm::UnitType::UT_Crack_Width;94;Crack Width
OdBm::UnitType::UT_Displacement_Deflection;95;Displacement/Deflection
OdBm::UnitType::UT_Energy;96;Energy
OdBm::UnitType::UT_Structural_Frequency;97;Frequency
OdBm::UnitType::UT_Mass;98;Mass
OdBm::UnitType::UT_Mass_per_Unit_Length;99;Mass per Unit Length
OdBm::UnitType::UT_Moment_of_Inertia;100;Moment of Inertia
OdBm::UnitType::UT_Surface_Area;101;Surface Area per Unit Length
OdBm::UnitType::UT_Period;102;Period
OdBm::UnitType::UT_Pulsation;103;Pulsation
OdBm::UnitType::UT_Reinforcement_Area;104;Reinforcement Area
OdBm::UnitType::UT_Reinforcement_Area_per_Unit_Length;105;Reinforcement Area per Unit Length
OdBm::UnitType::UT_Reinforcement_Cover;106;Reinforcement Cover
OdBm::UnitType::UT_Reinforcement_Spacing;107;Reinforcement Spacing
OdBm::UnitType::UT_Rotation;108;Rotation
OdBm::UnitType::UT_Section_Area;109;Section Area
OdBm::UnitType::UT_Section_Dimension;110;Section Dimension
OdBm::UnitType::UT_Section_Modulus;111;Section Modulus
OdBm::UnitType::UT_Section_Property;112;Section Property
OdBm::UnitType::UT_Structural_Velocity;113;Velocity
OdBm::UnitType::UT_Warping_Constant;114;Warping Constant
OdBm::UnitType::UT_Weight;115;Weight
OdBm::UnitType::UT_Weight_per_Unit_Length;116;Weight per Unit Length
OdBm::UnitType::UT_HVAC_ThermalConductivity;117;Thermal Conductivity
OdBm::UnitType::UT_HVAC_SpecificHeat;118;Specific Heat
OdBm::UnitType::UT_HVAC_SpecificHeatOfVaporization;119;Specific Heat of Vaporization
OdBm::UnitType::UT_HVAC_Permeability;120;Permeability
OdBm::UnitType::UT_Electrical_Resistivity;121;Electrical Resistivity
OdBm::UnitType::UT_MassDensity;122;Mass Density
OdBm::UnitType::UT_MassPerUnitArea;123;Mass per Unit Area
OdBm::UnitType::UT_Pipe_Dimension;124;Pipe Dimension
OdBm::UnitType::UT_PipeMass;125;Mass
OdBm::UnitType::UT_PipeMassPerUnitLength;126;Mass per Unit Length
OdBm::UnitType::UT_HVAC_TemperatureDifference;127;Temperature Difference
OdBm::UnitType::UT_Piping_TemperatureDifference;128;Temperature Difference
OdBm::UnitType::UT_Electrical_TemperatureDifference;129;Temperature Difference
OdBm::UnitType::UT_TimeInterval;130;Time
OdBm::UnitType::UT_Speed;131;Speed
